Genes	D:\data\Ksyusha\dia_17.11.21\ost_d8_cont_Slot1-25_1_2486.d	D:\data\Ksyusha\dia_17.11.21\ost_d8_dif_Slot1-27_1_2500.d	D:\data\Ksyusha\dia_17.11.21\ost_d9_cont_Slot1-36_1_2498.d	D:\data\Ksyusha\dia_17.11.21\ost_d9_dif_Slot1-42_1_2497.d	D:\data\Ksyusha\dia_17.11.21\ost_d11_cont_Slot1-41_1_2482.d	D:\data\Ksyusha\dia_17.11.21\ost_d11_dif_Slot1-33_1_2484.d	D:\data\Ksyusha\dia_17.11.21\ost_d12_cont_Slot1-21_1_2488.d	D:\data\Ksyusha\dia_17.11.21\ost_d12_dif_Slot1-38_1_2478.d	D:\data\Ksyusha\dia_17.11.21\ost_d20_cont_Slot1-37_1_2491.d	D:\data\Ksyusha\dia_17.11.21\ost_d20_dif_Slot1-30_1_2495.d	D:\data\Ksyusha\dia_17.11.21\ost_d22_cont_Slot1-20_1_2493.d	D:\data\Ksyusha\dia_17.11.21\ost_d22_dif_Slot1-32_1_2480.d	D:\data\Ksyusha\dia_17.11.21\vic_213_cont_Slot1-29_1_2489.d	D:\data\Ksyusha\dia_17.11.21\vic_213_dif_Slot1-35_1_2494.d	D:\data\Ksyusha\dia_17.11.21\vic_426_cont_Slot1-19_1_2487.d	D:\data\Ksyusha\dia_17.11.21\vic_426_dif_Slot1-26_1_2492.d	D:\data\Ksyusha\dia_17.11.21\vic_431_cont_Slot1-24_1_2481.d	D:\data\Ksyusha\dia_17.11.21\vic_431_dif_Slot1-31_1_2483.d	D:\data\Ksyusha\dia_17.11.21\vic_432_cont_Slot1-22_1_2479.d	D:\data\Ksyusha\dia_17.11.21\vic_432_dif_Slot1-39_1_2496.d	D:\data\Ksyusha\dia_17.11.21\vic_482_cont_Slot1-40_1_2485.d	D:\data\Ksyusha\dia_17.11.21\vic_482_dif_Slot1-23_1_2499.d	D:\data\Ksyusha\dia_17.11.21\vic_494_cont_Slot1-34_1_2490.d	D:\data\Ksyusha\dia_17.11.21\vic_494_dif_Slot1-28_1_2477.d
A1BG					15946.3		2242.42						10731.5		216194	5479.1	76112.8		2547.71		11649.7	981.692	1992.43	
A2M	528252	226187	647462	208656	1.03619e+06	328963	367608	148235	625166	466157	541416	189447	371083	103008	776488	725227	470520	428644	456791	268313	349121	46401	392075	60340.1
A2M;PZP	351953	146107	284552	152172	562410	250460	225924	117010	310007	166529	564066	130620	348852	44051.8	577006	384215	305705	350510	450879	218355	335361	28468.2	132396	36182.3
AAAS	2682.64	2342.86	2185.12	2125.79	2995.45	2465.6	2397.22	2154.39	1850.47	1599.59	2738.88	2343.84	2560.51	2876.77	764.784		604.538	818.239	298.922	1075.32	2425.65	1924.5	1936.54	2780.54
AACS	2772.02	3552.62	2752.5	4510.89	2375.92	3094.53	1542.88	2857.57	3456.98	7195.59	4126.33	4186.7	1820.02	2045.4	2892.58	2279.62	3130.23	3725.56	4541.24	2726.31	3742.31	4076.11	3842.22	3098.71
AADAC													1159.42	3111.09						673.721	1744.1		1698.46	
AAGAB	2684.47	2082.35	3038.23	1926.22	3449.12	2872.9	2851.14	2025.53	2819.16	2496.45	3273.12	3687.08	2661.94	3289.99	2562.71	634.723	1558.48	1900.04	2162.81	1543.26	2962.62	2051.23	2722.52	2301.87
AAK1	9742.32	9534.99	10237.5	10567.1	7114.16	7171.95	9449.58	7149.67	10126.1	9230.57	9174.95	8227.12	4499.87	6381.38	4777.35	5287.84	6425.32	8165.24	10668.9	8186.15	4436.22	8537.74	6654.04	5926.25
AAK1;BMP2K	361.639	668.674	629.826	422.38	1450.85	719.688	564.02	882.255	1844.81	1394.24	1048.64	667.672	668.67	509.408	2796.9	502.057	2296.94		1266.68	1489.31	2777.28	832.421	1436.11	961.004
AAMDC	3441.33	4885.87	9006.05	7203.25	6598.94	6378.27	5997.84	8684.35	5572.67	5938.84	6508.52	7054.74	7888.05	9081.15	3835.4	5296.23	7350.91	6846.45	6599.04	7844.35	4749.1	5964.97	7132	4740.15
AAMP	4604.75	3524.57	3776.28	2632.52	4645.43	3469.95	4805.21	3471.21	4123.37	2255.82	3243.47	2521.92	2587.61	2284.34	1991	1014.89	2697.53	2819.99	2892.01	2291.8	3291.72	3467.76	4671.14	2439.83
AAR2	2405.17	3387.58	2533.16	3475.1	3261.18	2101.23	3422.55	4209.85	2163.59	2652.23	2542.07	3440.81	1785.81	2122.11	4025.67	2800.41	3282.62	3200.39	3392.12	2120.77	1681.73	1964.05	2288.37	3133.44
AARS1	43229.6	39616.4	47155	26464.6	41030.6	36244.6	49523.1	33481.7	48155.1	35281.3	41931.3	35825	38598.9	42846.3	41546.3	35568.6	45146.7	40439.6	42161.4	45789.2	53679.3	50466.5	47467.2	36662
AARS2	3296.29	2590.86	2464.97	2703.94	2700.86	3244.97	3613.51	3774.08	2735.26	2769.96	4224.5	2524.83	2618.63	4117.61	2464.58	2979.04	2385.27	3463.98	1389.56	3602.71	2319.51	2872.12	2521.12	2362.47
AARSD1	4911.78	4494.19	6159.5	3582.64	8741.51	7109.33	5988.29	6108.55	6754.58	6592.78	9228.85	4286.74	5091.76	5893.51	4823.71	4182.04	4265.84	3944.42	6534.16	5287.22	7110.03	5221.05	5545.02	4663.22
AASDHPPT	4023.39	4947.38	5223.67	3612.89	5708.42	5575.74	3391.25	5007.54	6290.88	4175.24	4432.82	4149.47	4648.54	5014.15	4347.75	5757.4	5338.32	6355.84	6819.83	6818.32	4404.7	4100.8	7256.69	5495.61
AASS	2619.73	1995.27	1639.56	2529.98	1601.38	2800.49	1640.06	4011.44	1838.82	2155.37	1789.57	3047.07	2495.39	5420.27	1579.97	3953.91	2247.01	5190.36	1789.85	4368.75	1558.32	2894.67	2132.45	3050.72
AATF	3093.67	2622.85	2117.11	2075.78	3713.33	2342.94	2862.27	3623.69	2937.96	1760.13	2332.19	1606.22	1617.94								1420.35	2627.96	1922.68	1865.51
AATK	6624.45	6345.7	7668.16	5210.97	6175.07	7424.44	7021.22	5644.21	8523.42	2045.2	6986.29	7119.43					4313.72	6943.3	6494.86	7612.84		6937.32	3368.92	4869.5
ABAT	998.216	1536.86	1065.97	2391.56	1200.9	1848.64	761.964	2312.21	933.286	1567.83	964.628	2476.96	1101.04	2210.41	939.458	3771.95	1693.24	2924.38	2385.53	3876.28	580.946	1212.88	1206.78	2915.49
ABCA1	628.102	1177.16	1131.88	296.23	926.76	955.904	1228.29	687.129	256.75	264.893	1122.07	990.243	717.667	1138.79	1664.23	613.407	149.341	945.632	921.733	1570.23	541.831	1039.97	560.925	1439.18
ABCA2	227.446	146.548	828.448			1093.21		831.939	224.067	179.463	651.278	1257.59	461.721	348.149	876.82	437.538	407.57		439.829	422.981	862.255	451.133	591.311	749.569
ABCA3													313.882	3269.46	435.526				422.846	1277.66	205.764		236.093	1805.71
ABCA6		964.251		1458.39		1240.41		1322.09		1090.83	671.063	1445.42	913.688	2627.07	521.191		400.91	1022.59		731.488	870.774	1802.16	265.552	1187.34
ABCA8	443.998	911.779	447.906	964.172		199.202				139.744	486.716	870.163	788.289	1406.84	407.898	377.413		529.027	346.931	971.388	731.006	1036.28	355.943	1146.37
ABCB10	1478.34	851.459	2264.11	706.124	959.202	2328.67	2152.73	1304.57	2232.01	2652.31	2232.46	975.527	2156.72	1382.81	729.145	2005.93	1583	2206.41	2091.94	2156.68	1153.37	2184.82	2439.35	2718.93
ABCB10;ABCB8	3746.2	5708.66	5728.1	5414.82	3583.21	6728.24	5330.39	4195	4587.82	7962.18	8497.91	4893.07	8792.48	6940	9587.71	4951.84	12101.5	8764.94	5335.81	6013.84	6971.02	3854.24	5613.5	7305.93
ABCB6	3528.86	3675.65	3279.65	3533.48	3296.89	3847.44	4452.48	4820.86	3242.55	4258.14	4154.73	4716.85	3115.38	3520.95	3359.28	3651.46	2132.37	4944.32	3013.66	5862.18	3076.39	3043.86	2726.69	3960.03
ABCB7	3681.47	3436.27	3350	3953.97	2991.99	3666.52	2354.15	4275.54	2676.82	3420.05	3282.62	4223.86	3297.58	3552.91	2546.85	3773.11	5483.69	4779.44	2307.42	5970.55	1682.31	2330.62	1630.09	4267.25
ABCB8	1431.06	1284.9	1508.92	746.545	545.941	1854.8	1564.97	1545.53	1501.83	1704.2	2270.97	2352.85	992.876	1595.1	1838.99	1983.37	2292.58	779.378	1216.23	1733.26	1845.5	939.367	1582.9	1554.83
ABCC1	6732	5799.04	8581.47	6452.65	8494.97	10447.5	12739.6	11780.4	6328.31	7597.02	11046.6	9271.21	9513.64	8074.48	6051.95	6528.46	6492.02	6347.28	6219.73	8507.35	9328.13	9602.14	10875	10887.2
ABCC10	627.82	983.944	890.763	1039.32		577.497	831.794	658.72	611.613	937.892	1359.63	998.748	605.134	606.808	541.626	642.818	734.351	1354.31	827.654	1682.58	658.962	885.123	458.707	1006.96
ABCC3	663.874	3658.3	1096.11	1958.88	671.745	3864.34	3327.8	6581.71		1337.22	1172.12	1996.19	1229.97	6597.31	685.039	1771.29	1433.32	1581.24	1715.75	2709.82	2597.54	2910.74	1428.98	7236.32
ABCC4	4356.9	8292.89	4699.21	11758.4	2397.91	4496.8	4381.55	3786.28	3785.32	8681.01	3964.98	4823.65	3784.84	8083.03	3053.29	4601.65	1673.55	5964.47	3946.21	11146.6	2624.57	4365.31	3828.13	7479.21
ABCC9	200.405	372.33				1198.34		570.148	387.224	429.149			335.422	525.605		896.911			439.035		387.69	1402.41	124.984	305.595
ABCD1	4042.04	4965.11	6005.4	5365.58	2422.94	2739.97	3078.49	4028.81	4051.89	5467.51	3253.83	4359.09	4762.85	5560.61	3224.32	5145.42	3601.09	8300.65	5995.15	5927.55	2794.61	5722.01	4346.69	6441.73
ABCD3	7556.56	11114	8471.18	12311.5	6116.21	8173.08	8284.37	9749.46	8172.42	9854.98	7724.29	8490.44	12989	9725.4	9994.37	11789.5	10558.8	11372.7	15588	16489.4	4743.77	9476.27	9113.55	12093.6
ABCD4		1320.17		755.321		829.184	2767.44	2067.87	467.198	1471.79	534.501	1603.2	1580.61	1194.85	611.266			769.142	355.303	1239.92	612.688	865.854	818.867	755.989
ABCE1	15996.1	13837.9	15169.8	12750.8	14967.7	16816.5	16333.3	14597.4	17617.1	17218.1	17109.9	15102.9	19828.9	18014.6	13023.8	14528.8	15902.2	16680.7	20362.2	15641.2	17547.7	17612.4	18770.2	18087.7
ABCF1	16001.4	7689.23	17840.7	5237.1	17703	18343.3	16303.2	16763	20220.6	19320.4	17445.6	19555.5	13033.4	3326.67	11771.3	697.789	10709.4	3582.16	20373.2	2759.17	15359.5	17931.6	16756.8	17031.1
ABCF2	12550.4	12422.5	14442.1	12753.7	11073.2	14755.7	13341.8	13360.4	16609	11677.2	11287.5	11782.7	13453.5	11580.5	11872.5	6287.44	9524.2	10266.6	18692	12123.4	10761.8	13311.7	14314	13409.4
ABCF3	2952.68	3744.75	3571.86	2597.87	2660.99	2780.94	3260.05	3096.73	3937.08	4060.94	3759.08	3808.36	3179.45	2550.3	3014.69	2170.71	2359.46	3444.59	4675.72	3691.2	2349.68	2094.77	4074.72	3223.22
ABCG2	5870.59	455.063	6766.39		733.397			283.461			195.314		784.149	1677.77	2323.54	3900.68		4462.08	6919.24	6430.99	2922.72	4254.58	2899.39	1312.1
ABHD10	10323.8	8766.94	11602.3	8515.64	10513.9	8019	6652.52	5070.35	12332	11148.5	14033.7	8776.55	9250.5	11166.6	6698.02	12883.3	8247.75	11685.1	6386.22	14339.1	9248.85	12211.4	10744.4	9183.58
ABHD11	4251.31	3296.21	4069.78	6084.66	5654.63	3902.5	4820.62	3100.37	5214.17	3992.59	5976.5	3508.44	3294.5	4650.72	2696.63	3686.94	2605.18	2801.89	1945.19	2550.38	3544.06	3050.29	3135.46	2730.47
ABHD12	6211.8	5958.68	5251.22	5878.72	5895.16	6960.53	8149.79	6875.95	7781.12	8184.63	7785.34	5758	6081.61	6003.21	6469.39	8040.92	7687.08	10365	14912.5	11382.1	7104.98	8179.1	8319.22	8836.71
ABHD14A	481.859	724.043	763.643	1416.54	450.078	623.948	1053.01	593.253		350.871	898.491	724.35	366.034	195.444					975.175	699.077	341.428	235.198	540.463	237.273
ABHD14B	51135.6	49475.4	52480	61274.7	35735.1	46651	48274.8	55139.6	47875.3	53185.9	42581.5	59035.7	22367.5	39970	32325.4	44098.5	30590.9	62168.7	24517.5	43654.8	21089.5	41181.7	28177.5	39039.3
ABHD16A	1933.71	3441.55	2652.8	8700.45	2183.2	2746.47	3389	3138.04	4045.08	3645.97	3580.79	2186.51	5497.7	2612	5523.28	4983.95	5252.9	5531.9	5603.47	4896.7	5966.33	2725.2	3989.49	3919.39
ABHD17B	595.283	410.501	394.725	844.727	234.722	527.107	324.66	388.005	410.25	478.093	574.934	520.427	317.318	466.026	323.716	260.653	202.185	484.472	285.174	549.218	157.209	216.821	361.897	254.392
ABHD4	1421.84	1081.05	2159.25		3890.82	1531.55	1973.62	1130.9	1679.24	1733.52	5628.52	2084.85	2405.51	2835.34	892.048	551.506	849.64	2625.44	1268.41	819.202	1859.99	1249.32	3719.73	2233.07
ABHD5	749.36	932.917	664.394	1962.22	721.244	518.51	1011.83	581.169	599.008	330.216	1058.02	82.4633	642.552	1104.36		255.89	563.885		520.908	603.911	580.196		511.738	406.312
ABHD6	1902.27	1267.32	1624.74	1599.46	994.693	1719.39	1184.3	1605.02	1184.08	1025.21	622.974	484.541	1253.4	1894.96	545.302	878.563	305.792	967.502	1195.18	1583.17	662.599	1273.9	926.299	1730.15
ABI1	16025.6	14318	18398.2	16878.4	23892.1	18746.6	18233.3	16793.7	17767.1	19223.1	16920.3	17695.8	15365.9	11995.5	17288.3	15429.7	21289	13576.8	17741	16621.7	21129.6	15684.4	17550.7	16382.6
ABI1;ABI2	38454.9	24021.2	18294.9	22809.7	18736.2	22058	33027.8	32342	26239	24582.9	21135.4	25386.2	12921.3	23965.1	9561.98	8913.7	16804.6	20014.2	18400.6	18680.4	16928.5	22518.6	22224.5	17861.3
ABI2	8301.69	5678.37	8737.82	8101.63	9033.38	9486.94	7018.07	10934.9	6600.07	7870.92	7348.71	7151.03	10261.4	6324.25	3397.17	3382.09	8342.54	9312.01	7742.08	13004.9	8229.83	9928.69	9170.18	10107.1
ABI3BP	3531.66	2809.68	3058.52	848.356	4362.91	2181.45	2939.31	1172.14	7890.42	4426.09	7436.79	5272.36	1533.83	956.453	2954.99	885.392	2909.23	965.294	2533.55	695.813	1585.73	1562.52	2473.36	3199.94
ABL1	640.239	602.81	1518.06	536.119	718.413	866.844	974.031	617.81	1075.6	708.394	1051.91	640.433	551.745	1152.31	752.896	314.324	543.088	267.273	1100	545.354	723.405	627.751	839.52	1084.58
ABL1;ABL2	116.043	259.112	159.086	383.64		278.363	165.006	244.695	163.721	165.824		175.174	236.561	295.281	123.714	173.61		205.02			61.1051	107.382	74.6104	16.4172
ABLIM1	1156.81	2644.54	1154.16	3385.22	1436.06	676.978	490.347		2025.95	1323.55	1327.36		3305.33	5169.77	2040.74	2329.28	1643.81	1009.64	2508.44	2130.37	4632.1	8177.22	6458.25	7179.7
ABLIM2	1384.47	1504.89	2019.84	1371.14	2221.04	1595.14	2467.22	1147.61	1455.12	1701.66		1654.42			720.564			5708.04						1881.9
ABLIM3		1953.9	871.647	1343.23		1542.83	845.157	1670.88	1437.82	2923.7	1081.25	2276.93	1096.02	649.356		1244.83		464.906			396.287	1728.49	985.6	1062.16
ABR	5631.38	4167.7	4033.56	3664.06	4062.99	5697.16	5006.58	5268.39	4739.08	4048.84	5409.82	5063.49	3125.02	2706.01	2704.03	2746.64	2476.1	3077.06	3582.58	3554.56	2800.59	2159.67	3238.33	2993.64
ABRACL	38644.6	43077.4	28893.3	42614.2	38270.9	39733	36060.2	37820.1	23088.1	28070.2	42043.2	37521.2	16555.2	64567	11593.9	25251.7	16691.8	52431.9	26698.7	41462.9	24820.3	36180.6	19439.7	20655.7
ABRAXAS1		382.412						584.629				315.936	415.776	789.125							430.811		565.941	1072.17
ABRAXAS2	8406.58	8478.63	12252.1	4837.95	7790.72	9309.24	6346.87	7039.77	10284.9	10056.3	9336.9	8689.67	9335.21	8229.71	7488.35	3236.25	7974.97	4069.75	5800.16	8895.5	7978.37	9486.54	10197.4	7971.64
ACAA1	21273.3	20872.9	27945.2	24673	19856.6	22350.3	10849.2	11184.6	25649.6	26046.2	25075.9	22381.7	14018.4	23499.8	18689.9	26298.8	13289.4	22715.4	22553.3	27602.5	12443.8	20229.3	21427.6	24477.4
ACAA2	23798.8	18752.7	36350.9	20696.9	28951.5	24516.2	19218.4	22925.5	30859.1	28262.8	29129.4	30148.3	19206.9	24138	14697.9	32600.9	23596.1	28958.3	16985.1	24474.6	17580.1	20441.4	15645.3	21067.9
ACACA	2389.86	2978.61	2362.94	2662.86	2958.77	5258.14	3132.17	2956.95	2803.3	4358.54	3981.91	3201.28	3800.46	2948.39	3528.15	1900.49	2612.08	1784.21	3890.76	3188.69	4114	4363.23	3246.33	4512.3
ACAD10	1414.75	655.665	1215.45	845.808	449.023	1196.8	2140.43	3000.2	697.703	445.076	1067.16	1147.46	897.221	527.76	703.493	288.161	226.235	492.952	409.406	711.129	708.503	807.971	209.459	961.946
ACAD11	5163.73	3560.06	3730.38	3448.38	2607	2689.86	6164.79	4487.01	3540.97	2293.68	3655.82	4415.86	4113.41	5715.58	3390.34	2844.02	2628.75	2516.07	6478.71	3062.77	3145.9	3693.85	4057.74	3378.27
ACAD8	2012.94	2183.69	3272.29	2302.72	3888.57	2809.17	2129.24	2979.31	2197.79	4088.02	4175.93	3428.17	2759.91	2649.05	1493.58	3044.83	3288.25	4103.87	1850.73	3979.56	2998.73	2281.02	2999.89	2721.26
ACAD9	15959.1	14387.2	14046.8	14002.7	11281	16147.9	14353.4	17088.2	15009	15948.9	14650.3	15228.4	10247.6	16153.6	8114.4	14112.9	6745.63	10850	8424.5	18028	8892.51	14020.3	7966.99	11128.5
ACADM	10011.8	5485.42	7563.33	5246.78	10902.2	7857.36	7502.51	9928.92	8034.8	7931.45	7326.99	7119.3	7240.61	11963.6	5982.44	8911.11	7429.66	8477.79	4674.83	6533.01	8181.88	8460.96	7280.37	8247.99
ACADS	2645.09	3356.43	5036.37	5400.41	5915.72	6658.29	4589.15	7314.49	4005.79	8534.5	4250.27	7556.31	4172.09	8079.24	2162.13	3961.58	4731.59	6233.35	3103.79	4651.22	2071.03	3126.46	3154.58	4458.9
ACADSB	3058.6	2381.76	4639.9	3832.17	4723.66	6059.62	4589.11	6685.89	4401.89	5434.03	5411.01	5534.4	4210.06	5567.79	1935.43	4103.44	2940.71	5003.86	3133.56	5592.82	3303.83	3397.95	3785.29	5357.38
ACADVL	40034.9	37722.2	47964.6	44453.9	47725.1	27787.8	48743.4	45589.4	45197.8	45673.8	42819.6	27329.6	49173.2	54173	51913.4	63802.4	61748.4	53641.6	48651.8	55442.7	47682.5	49576.7	38283.8	50490.9
ACAN	2915.23	2044.26	4511.7		8359.33	5106.15	8251.63	4712.64	7333.38	2792.47	4551.83	7231.96			3124.21	3338.47	1921.35	2071.71						
ACAP1	11474.3	6623.06	9321.87	8280.7	8649.94	8856.5	8483.6	11204.7	7711.65	4894.04	7252.81	11218.3		6310.53	2735.33	6478.59	5198.5	7228.89	5939.32	6841.92	3681.61	8825.82	5902.71	10881.2
ACAP2	7869.06	10439.2	13388	10136.1	5642.21	9576.05	8345.64	10080.9	9303.71	10856.7	10439.8	11328.6	4419.2	8542.47	4737.45	8091.14	6112.07	9521.85	8699.74	8296.78	4852.55	7951.25	7682.68	8058.87
ACAP2;ACAP3	4658.37	4174.64	4107.04	4874.63	2325.85	4246.83	1758.1	3430.89	2009.25	2371.18	2054.15	4610.62	254.844	2602	66.6089	1344.57	1748	2165.18	1784.27	3890.69	861.824	922.076	1766.72	1573.51
ACAT1	66537.6	55316.9	71482.5	57323.2	77980.7	78884	53216.5	67979	71335.6	74882.1	83497.3	81623.8	47611.6	68425	38510.7	66468.6	37293.2	53302.4	31055.7	55734.4	50113	61073.6	50391.3	46109.3
ACAT2	21348.6	26917.3	21324.9	15151.8	31272.3	47501.2	20363.2	28049.8	21583.3	37938.7	29121.4	34978.2	30486.3	41186.9	18837.9	30125.8	14381.6	20885.8	17364.2	22027.2	29180.7	29646	32908.1	40134.3
ACBD3	12134.9	14653.3	13275	9679.66	12974.3	14479.4	9951.67	11957.6	14381.8	15090.9	11948.1	13297.5	8774.75	6919.69	10327.3	4024.56	13834.3	6541.34	16019.9	10758.3	12823.3	17673.4	13851.7	9713.32
ACBD5	8099.24	7084.72	8435.45	7744.6	7514.05	6669.9	8743.07	8497.43	8171.97	5379.86	6630.37	6557.69	3376.34	3730.27	2968.77	1758.17	3233.86	1992.94	4359.28	4042.73	3844.65	7460.98	6591.73	6266.81
ACBD6	4128.92	2506.61	4003.69	3378.27	3223.61	2738.69	2279.94	3455.62	3429.36	2365.86	3305.99	2660.61	1434.45	647.572	879.143		733.941		2373.94	839.235	1755.34	1727.29	2101.12	1758.27
ACE	1933.33	1202.52	1986.19	1161.41	812.771	1156.29	563.216	193.582	1321.92	1209.26	1892.39	1410.67	2696.61	6357.22	1356.43	2070.85	1038.23	1147.06	976.938	1494.11	849.051	2199.07	1191.16	3521.28
ACIN1	5220.42	2754.18	6543.24	2112.06	13007	8212.72	8537.35	8098.09	6868.33	3967.31	7177.04	4833.97	6519.64	3051.36	717.727		921.836	2721.42	1262.99	884.651	6451.13	6613.68	10113	7153.33
ACKR3	401.514	61.8653	140.454		304.002	499.467	58.954		184.656	411.236	992.318	195.709	175.184						140.531		18.9537		34.1714	
ACKR4											554.692		5797.26	794.56	1094.43				5192.51		2677.75	1439.18	1072.04	
ACLY	105973	94088.5	131081	69313.7	57123	108493	66682.8	67944.5	129415	123657	99452	103856	84520.9	72519.4	108556	106636	81454.9	83739.6	120647	132859	80624.3	102353	103574	100236
ACO1	28091.3	31348.8	29721.7	35826.4	27207.9	48045	25732.6	41815.5	30650.8	43703.4	47401.1	40970.5	24071	32727.6	21069.8	19622.3	12815.7	16133.7	24272.1	23613.7	24592.7	31243.7	21441.3	35542.5
ACO2	30292.8	30282.6	36816.3	32773.3	29355.6	29874	26596.1	37743.6	33419	36346.7	26018.9	36771.1	18075.1	36051.9	16934.5	39133.5	33542.2	46257.7	17691.5	36482.2	22436.3	36101.4	20296.3	24201.5
ACOT1	11974.8	17153	19846.6	23581.6	12466.6	21425.9	7274.36	13830.9	22379.6	55274	15944.7	28038.7	11044.2	19783.4	8294.05	23224.5	8077.42	26382.2	3888.07	16097.5	7323.88	14559.9	9187.06	18554.1
ACOT13	15099.8	8633.44	14456.8	32850.6	8360.09	6150.23	10270.8	12411.6	13303.6	16474.6	12653.8	13606.2	7823.12	9447.92	7397.87	14871.1	7327.45	12165.4	6183.49	9402.95	6739.77	5371.19	4101.15	6416.65
ACOT2		985.549	811.184	1476.82	465.542	392.227		615.958	463.922	901.267		697.126		1505.81		678.674		871.999		777.485		764.116	240.648	652.8
ACOT7	11036.3	11763.1	13824.2	13119.4	15533.5	13479.2	14144.2	13233.1	19972	16859.5	19120.6	15978.1	16359.2	17842.7	26288.4	37558.3	24033.4	39713.8	31694.5	36306.8	20482.3	26224.8	16771.7	16505.9
ACOT8	8675.84	7225.59	11342.2	8112.06	7269.24	6855.01	8323.54	7770.59	13268.7	13414.6	13303.4	9827.83	6349.97	5916.05	7229.66	10979.8	5894.6	10672.8	10289.3	11909	9047.52	9318.73	6864.28	9327.67
ACOT9	23600.2	25996.6	27878.1	31874.9	18038.8	20027.8	21924.7	27501.3	20389.6	26894.3	24789.6	28228.4	17926.3	25589.9	11516.4	23698.8	19428	31157	20762.1	27722.1	15636.9	20181	14211.1	20396.9
ACOX1	2731.58	2906.7	2410.11	2971.2	2734.82	2380.8	2571.61	1931.39	2535.39	2173.23	1998.01	2460.84	2364.09	2108.76	2876.57	1779.39	2458.78	2158.99	5388.06	4466.16	2689.37	2585.15	4293.39	3096.59
ACOX2	3829.54	4206.44	6486.87	3784.34	2141.15	3333.51	3486.49	2930.53	4232.64	4225.52	4468.39	3465.54	2947.74	4458.09	2943.57	2765.88	2342.08	3486.19	3160.02	3742.59	2963.65	4022.64	3565.18	4779.25
ACOX3	9731.44	7721.79	17080.2	11121.8	5414	8249	6164.6	8226.66	8671.01	8536.26	10487.1	8208.54	6577.26	9650.27	7083.16	10919.1	8229.53	12590.7	9416.08	13338.1	4594.33	8161.03	9203.38	10521.6
ACP1	16031.3	12185.9	18360.6	11672.2	14129.1	18373.5	8282.12	11643.2	20629.5	20532.2	22517.7	15889.3	18237.2	27453.7	13141.5	23323.7	30295.9	22937	30003	25637.6	18686.8	17090.5	25594.8	24770
ACP2	18491.6	18066.1	24246.4	23195.8	20151	15477.2	15935	17190.5	19830	30140.4	25287.6	23372.7	28171.1	33050.4	36709.4	57642.8	33300.4	45787.5	23192	55564.8	15538.9	20701.1	32889.4	35612.3
ACP5	880.89																							
ACP6	707.637	681.211	698.929	1587.35	702.416	856.825	541.413	774.73	959.466	640.814	544.653	396.728	562.47	836.507	326.365	1423.29	708.936	731.583	481.747	1186.01	668.663	986.528	287.397	421.002
ACSF2	7284.02	8241.88	9510.92	8147.37	3393.7	7719.81	2304.77	4180.71	6684.51	8570.43	6076.65	8196.8	3513.39	6119.74	4160.66	8083.98	5634.44	8025.43	3240	5372.88	2260.03	5612.31	4324.37	4827.69
ACSF3	1467.55	1245.85	1833.71	1722.26	1627.52	2180.25	1434.01	2248.98	1517.68	2418.17	2245.25	2383.46	1015.37	1738.96	1307.59	1738.82	1661.75	3705.48	1014.66	2586.13	1257.62	1729.35	892.313	960.429
ACSL1	14426.7	28526.6	12602.7	31935.6	11975.1	27396.9	9315.9	20049.4	12069.3	33086.4	13323.6	30854.2	9262.94	18385.1	10494.9	13474	11372.7	18792.1	10561.6	16844.3	7782.42	9853.24	10517.7	17057.3
ACSL1;ACSL5		755.627	769.987			912.518				2911.9		1238.11	188.656					1148.55	688.533	1041.15				
ACSL1;ACSL6	1131.02	2081.2		2784.95	1172.24	4067.7		2869.52		2625.35	2219.02	5055.42	3941.97	1267.68	5697.06	967.711	1468.33	1132.52	1681.24	1289.82	3530.14	1229.76	1193.21	2232.92
ACSL3	24123	23691.5	24261.1	17445.5	16555.1	25159.6	25952.5	19557.7	21794.9	31720.2	26418.1	22915.4	22810.2	27232.4	24069.8	24687.3	26052.3	23982.7	22657	23973.2	23804	32704.1	26302.2	23767.9
ACSL4	9587.76	9857.37	8273.86	8636.71	13163.9	17225.7	16172.7	13191.9	9952.15	12687.3	15419.7	11752.7	11662.1	11940.8	10158.1	7882.92	7992.93	9383.75	12119.9	11993	13069.8	16004.7	10502.3	10790.5
ACSL5				69.4043																				
ACSM3	15254.5	10835.7	11963.9	10094.4	16473.7	8819.75	11536.4	8702.94	21489.3	26516.7	21883.6	10797.5	27932.6	13476.1	20850.5	16892.7	18086.4	7114.11	9316.19	6745.34	23171	19544.3	21606.3	16721.1
ACSS1				711.252		1572.33		2439.84		591.418	325.874	970.218	923.435	3642.33		969.066		917.044	1938.73	948.476	179.043	1772.08	701.334	2305.91
ACSS2	9860.41	11539.9	8349.03	10052	6019.85	16127	11923.2	12546.7	6848.04	15837.2	13653.1	15885.5	8708.79	18417.7	9348.91	15600.9	6033.29	14886.2	11930.1	15099	7354.42	16321.2	11204.9	18326.2
ACSS3	7297.46	5377.98	7478.81	6861.37	4041.16	5851.7	4333.1	6224.35	4441.69	6978	7097.53	6814.17	4384.62	12750.5	2875.15	6952.02	5596.84	9271.06	1505.91	6303.46	3568.07	4576.66	3758.17	7635.14
